name,nation,position,age,matches_played,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,team_name
Ayman Azhil,Germany,MIDFIELDER,24,1.0,1.0,0.0,0.0,0.0,0.0,0.0,B. Dortmund
Dan-Axel Zagadou,France,DEFENDER,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Stuttgart
Scott Carson,England,GOALKEEPER,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Man City
Morgan Costarelli,France,DEFENDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lille
Lucas García,Spain,GOALKEEPER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona
Oriol Comas,Spain,DEFENDER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona
Isaac Cossier,France,DEFENDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lille
Lennart Karl,Germany,MIDFIELDER,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern München
Paris   Irie,France,DEFENDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brest
Shandre Campbell,South Africa,FORWARD,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Club Brugge
Pau García,Spain,GOALKEEPER,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona
Jordi Danso,Gambia,GOALKEEPER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona
Marc Aznar,Spain,DEFENDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona
Juan Arango,Spain,FORWARD,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona
Christopher Olivier,Austria,DEFENDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stuttgart
Federico Cassa,Italy,FORWARD,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta
Luca Raimund,Germany,MIDFIELDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stuttgart
Noah Jauny,France,GOALKEEPER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brest
Nestory Irankunda,Australia,FORWARD,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern München
Ben Hawighorst,Germany,DEFENDER,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leverkusen
Gianluca Prestianni,Argentina,FORWARD,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica
Ibrahim Sulemana,Ghana,MIDFIELDER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta
Maxim Mateaš,Slovakia,MIDFIELDER,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S. Bratislava
Axel Camblan,France,FORWARD,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brest
Elvis Isaac,Nigeria,FORWARD,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S. Bratislava
Pietro Comi,Italy,DEFENDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta
Jacob Hödl,Austria,MIDFIELDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sturm Graz
Sam Proctor,England,GOALKEEPER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Tobias Van Den Elshout ,Netherlands,MIDFIELDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feyenoord
Andrej Mikolaš,Slovakia,GOALKEEPER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S. Bratislava
Joe Gauci,Australia,GOALKEEPER,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Alberto Manzoni,Italy,MIDFIELDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta
Diego Aguado,Spain,DEFENDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Madrid
Eliot Bujupi,Kosovo,FORWARD,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stuttgart
Mauro Couto,Portugal,FORWARD,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
Lorin Jetzer,Switzerland,DEFENDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Young Boys
Michael Bresser,Netherlands,DEFENDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSV
Antonio Fernandez,Spain,MIDFIELDER,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona
Jimi Gower,England,MIDFIELDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Maldini Kacurri,Albania,DEFENDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Jack Porter,England,GOALKEEPER,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Max Hudson,Wales,GOALKEEPER,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Man City
Guillermo Fernandez,Spain,MIDFIELDER,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona
Ismail Ka,Netherlands,GOALKEEPER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feyenoord
Axel Tape,France,MIDFIELDER,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paris
Ibrahim Mbaye,France,FORWARD,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paris
Elias Benkara,Germany,DEFENDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B. Dortmund
Daniel Yañez,Spain,FORWARD,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Madrid
Lionel Voufack,Germany,DEFENDER,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leipzig
Faik Sakar,Germany,MIDFIELDER,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leipzig
Fernando Dickes,Germany,GOALKEEPER,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leipzig
Gabriele Re Cecconi,Italy,DEFENDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inter
Ayden Heaven,England,MIDFIELDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Michal Rosiak,Poland,DEFENDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Ismeal Kabia,Netherlands,FORWARD,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Joshua Robinson,England,DEFENDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Jan Plug,Netherlands,DEFENDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feyenoord
Gerónimo Spina,Argentina,DEFENDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atleti
Christoph Wiener-Pucher,Austria,GOALKEEPER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sturm Graz
Peter Kiedl,Austria,FORWARD,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sturm Graz
Mattia Zanchetta,Italy,MIDFIELDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inter
Lilian Baret,France,MIDFIELDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lille
Sil Swinkels,Netherlands,DEFENDER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Tijn Smolenaars,Netherlands,GOALKEEPER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSV
Jesper Uneken,Netherlands,FORWARD,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSV
Kadan Young,England,MIDFIELDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Samuel Nibombe,Belgium,DEFENDER,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Monaco
Jonah Kusi-Asare,Sweden,FORWARD,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern München
Joan Tincres,France,FORWARD,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Monaco
Noa Mikić,Croatia,DEFENDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GNK Dinamo
Mislav Ćutuk,Croatia,FORWARD,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GNK Dinamo
Oliver Sorg,Austria,DEFENDER,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sturm Graz
Tiago Parente,Portugal,DEFENDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica
Marko Zebić,Croatia,DEFENDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GNK Dinamo
Saimon Bouabre,France,MIDFIELDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Monaco
Salah-Eddine Oulad M'Hand,Netherlands,MIDFIELDER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Thijs Kraaijeveld,Netherlands,MIDFIELDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feyenoord
Leon Klanac,Germany,GOALKEEPER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern München
Eduardo Felicíssimo,Portugal,MIDFIELDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
Denilson Santos,Portugal,DEFENDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
Hugo Félix,Portugal,MIDFIELDER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica
Gonçalo Oliveira,Portugal,DEFENDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica
Tomas Baković,Croatia,MIDFIELDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GNK Dinamo
Lucas Dominguez,Spain,DEFENDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
Lazar Jovanović,Serbia,MIDFIELDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crvena Zvezda
Tyler Meiser,Germany,DEFENDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B. Dortmund
Oliwier Zych,Poland,GOALKEEPER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Kieran Morrison,Northern Ireland,FORWARD,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Djomar Giersthove,Netherlands,DEFENDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feyenoord
Mannou Berger,Netherlands,GOALKEEPER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feyenoord
Edan Diop,France,MIDFIELDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Monaco
Mamadou Coulibaly,France,MIDFIELDER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Monaco
Nicola Bagnolini,Italy,GOALKEEPER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bologna
Jacob Wright,England,MIDFIELDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Man City
Miguel Alves,Portugal,DEFENDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
Yoram Zague,France,DEFENDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paris
Naoufel El Hannach,France,DEFENDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paris
José Silva,Portugal,DEFENDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
Rafael Nel,Portugal,FORWARD,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
Valentin Oelz,Austria,GOALKEEPER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Salzburg
Oliver Lukic,Croatia,MIDFIELDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Salzburg
Leandro Santos,Portugal,DEFENDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica
Jude Bonnar,Scotland,MIDFIELDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celtic
Hugo De Llanos,Spain,FORWARD,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Madrid
Chema Andrés,Spain,MIDFIELDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Madrid
Fran Gonzalez,Spain,GOALKEEPER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Madrid
Kerim Alajbegović,Germany,FORWARD,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leverkusen
Robin Lisewski,Germany,GOALKEEPER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B. Dortmund
Nuha Jatta,Germany,MIDFIELDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leipzig
Leon Koß,Germany,DEFENDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leipzig
Max Schmitt,Germany,GOALKEEPER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern München
Mike Aidoo,Italy,DEFENDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inter
Matteo Motta,Italy,DEFENDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inter
Mats Seiler,Switzerland,DEFENDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Young Boys
Jashar Dema,Kosovo,MIDFIELDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Young Boys
Matteo Bignetti,Austria,GOALKEEPER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sturm Graz
Plamen Andreev,Bulgaria,GOALKEEPER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feyenoord
Tajon Buchanan,Canada,FORWARD,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inter
Tommaso Ravaglioli,Italy,FORWARD,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bologna
Veljko Milosavljević,Serbia,MIDFIELDER,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crvena Zvezda
Vuk Draškić,Serbia,GOALKEEPER,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crvena Zvezda
Pol Fortuny,Spain,MIDFIELDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Madrid
Daniele Quieto,Italy,FORWARD,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inter
Enric García,Spain,MIDFIELDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona
Ricard Artero,Spain,MIDFIELDER,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Girona
Youssef,Spain,DEFENDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Madrid
Dennis Seimen,Germany,GOALKEEPER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stuttgart
Kjell Wätjen,Germany,MIDFIELDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B. Dortmund
Almugera Kabar,Germany,DEFENDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B. Dortmund
Tiago Freitas,Portugal,MIDFIELDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica
João Fonseca,Portugal,DEFENDER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica
Joeri Heerkens,Netherlands,GOALKEEPER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparta Praha
Francisco Silva,Portugal,GOALKEEPER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
Manuel Mendonça,Portugal,MIDFIELDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
Luis Gomes,Portugal,FORWARD,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
aron Yaakobishvili,Hungary,GOALKEEPER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona
Diego Kochen,USA,GOALKEEPER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona
Max Alleyne,England,DEFENDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Man City
Jack Henry-Francis,England,MIDFIELDER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Tay Abed,Spain,FORWARD,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSV
Filippo Mane,Italy,DEFENDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B. Dortmund
Noel Aseko,Germany,MIDFIELDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern München
Travis Patterson,England,MIDFIELDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Trent Kone-Doherty,Republic of Ireland,FORWARD,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Dalibor Vecerka,Czechia,DEFENDER,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparta Praha
Martin Mišovic,Slovakia,FORWARD,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S. Bratislava
Nuno Félix,Portugal,MIDFIELDER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica
André Gomes,Portugal,GOALKEEPER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica
Henrique Arreiol,Portugal,MIDFIELDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
Daniel Rus,Czechia,FORWARD,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparta Praha
Tommy Setford,England,GOALKEEPER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Ander Astralaga,Spain,GOALKEEPER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcelona
Rayane Belid,Spain,MIDFIELDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atleti
Gonzalo,Spain,FORWARD,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Madrid
Louis Mouquet,France,GOALKEEPER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paris
Lapo Nava,Italy,GOALKEEPER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Milan
Kevin Zeroli,Italy,MIDFIELDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Milan
Salko Hamzic,Austria,GOALKEEPER,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Salzburg
Tommaso Del Lungo,Italy,DEFENDER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta
Jonathan Asp Jensen,Denmark,MIDFIELDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern München
Yann Lienard,France,GOALKEEPER,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Monaco
Vanja Vlahović,Serbia,FORWARD,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta
Diego Callai,Italy,GOALKEEPER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
Kiril Fesiun,Ukraine,GOALKEEPER,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shakhtar
Denys Tvardovskyi,Ukraine,GOALKEEPER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shakhtar
Johnny Kenny,Republic of Ireland,FORWARD,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celtic
Isaac Mabaya,England,DEFENDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Alessandro Calligaris,Italy,GOALKEEPER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inter
Anton Hlushchenko,Ukraine,MIDFIELDER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shakhtar
Marian Faryna,Ukraine,DEFENDER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shakhtar
Giovanni Daffara,Italy,GOALKEEPER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Juventus
Sergio Mestre,Spain,GOALKEEPER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Madrid
Jovan Šljivić,Serbia,MIDFIELDER,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crvena Zvezda
Stefan Leković,Serbia,DEFENDER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crvena Zvezda
Jorne Spileers,Belgium,DEFENDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Club Brugge
Tarek Buchmann,Germany,DEFENDER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern München
Gabriel Vidović,Croatia,FORWARD,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bayern München
Frans Krätzig,Germany,DEFENDER,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stuttgart
Silas Ostrzinski,Germany,GOALKEEPER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B. Dortmund
Zane Monlouis,England,DEFENDER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Niek Schiks,Netherlands,GOALKEEPER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSV
Adam Montgomery,Scotland,FORWARD,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celtic
Lorenzo Aguado,Spain,DEFENDER,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Madrid
Diogo Prioste,Portugal,MIDFIELDER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica
Diogo Pinto,Portugal,GOALKEEPER,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
Adrian Bajrami,Albania,DEFENDER,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica
Thomas Kastanaras,Greece,FORWARD,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stuttgart
Adam Hrdina,Slovakia,GOALKEEPER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S. Bratislava
Joshua Wilson-Esbrand,England,DEFENDER,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Man City
Juan Musso,Argentina,GOALKEEPER,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atleti
Tristan van den Heuvel,Netherlands,GOALKEEPER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Club Brugge
Harvey Davies,England,GOALKEEPER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Antonio Gomis,Spain,GOALKEEPER,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atleti
Aitor Gismera,Spain,MIDFIELDER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atleti
Shiloh 'T Zand,Netherlands,MIDFIELDER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feyenoord
Bryan Okoh,Switzerland,DEFENDER,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Salzburg
Ilias Kostis,Greece,DEFENDER,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atleti
Jakub Surovcík,Slovakia,GOALKEEPER,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparta Praha
James Norris,England,MIDFIELDER,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Yehor Nazaryna,Ukraine,MIDFIELDER,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shakhtar
Samuel Soares,Portugal,GOALKEEPER,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benfica
Vitězslav Jaroš,Czechia,GOALKEEPER,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Sergiño Dest,USA,DEFENDER,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PSV
Vladan Kovacević,Serbia,GOALKEEPER,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
Maik Nawrocki,Poland,DEFENDER,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celtic
Marcel Lotka,Germany,GOALKEEPER,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B. Dortmund
Arnau Tenas,Spain,GOALKEEPER,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paris
Viljami Sinisalo,Finland,GOALKEEPER,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celtic
Martin Trnovský,Slovakia,GOALKEEPER,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S. Bratislava
Stephen Welsh,Scotland,DEFENDER,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celtic
Emir Karic,Austria,MIDFIELDER,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sturm Graz
Marco Sportiello,Italy,GOALKEEPER,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Milan
Marian Shved,Ukraine,MIDFIELDER,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shakhtar
Dario Marzino,Switzerland,GOALKEEPER,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Young Boys
Marc-Aurèle Caillard,France,GOALKEEPER,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lille
Nordin Jackers,Belgium,GOALKEEPER,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Club Brugge
Jesús Vallejo,Spain,DEFENDER,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Real Madrid
Vojtěch Vorel,Czechia,GOALKEEPER,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparta Praha
Ivan Filipović,Croatia,GOALKEEPER,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GNK Dinamo
Robin Olsen,Sweden,GOALKEEPER,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Milan Škriniar,Slovakia,DEFENDER,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paris
Niklas Lomb,Germany,GOALKEEPER,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leverkusen
Raffaele Di Gennaro,Italy,GOALKEEPER,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Inter
Francesco Rossi,Italy,GOALKEEPER,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atalanta
Scott Bain,Scotland,GOALKEEPER,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Celtic
Carlo Pinsoglio,Italy,GOALKEEPER,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Juventus
Vito Mannone,Italy,GOALKEEPER,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lille
